id,web_name,first_name,second_name,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,form,selected_by_percent,transfers_in,transfers_out,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,price_M,position,pts_per_million,team_name,team_short
551,Rigg,Chris,Rigg,17,3,47,16,1.5,376,0,0,2,2,0,0,0,51,0.2,0.0,5826,9226,0.32,0.35,0.67,5.41,20.2,48.4,21.0,8.9,a,,,4.7,MID,3.404255319148936,Sunderland,SUN
552,Sadiki,Noah,Sadiki,17,3,49,58,2.4,2114,0,1,7,28,6,0,0,299,2.0,0.1,10805,12009,0.37,0.94,1.31,30.34,255.8,201.9,65.0,52.4,a,,100.0,4.9,MID,11.83673469387755,Sunderland,SUN
553,Talbi,Chemsdine,Talbi,17,3,49,65,3.1,1146,3,2,6,10,0,0,5,193,0.8,0.2,60340,70743,1.34,0.59,1.92,15.56,178.2,171.7,160.0,50.5,a,,100.0,4.9,MID,13.265306122448978,Sunderland,SUN
554,Ba,Abdoullah,Ba,17,3,43,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3,81609,78508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.3,MID,0.0,Sunderland,SUN
555,Browne,Alan,Browne,17,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1291,9847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Middlesbrough on loan for the rest of the season.,0.0,4.5,MID,0.0,Sunderland,SUN
556,Ekwah,Pierre,Ekwah Elimby,17,3,45,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined AS Saint-Etienne permanently.,0.0,4.5,MID,0.0,Sunderland,SUN
557,H.Jones,Harrison,Jones,17,3,43,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,8764,10438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.3,MID,0.0,Sunderland,SUN
558,Matete,Jay,Matete,17,3,43,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,30710,45382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined MK Dons permanently.,0.0,4.3,MID,0.0,Sunderland,SUN
559,Triantis,Nectarios,Triantis,17,3,44,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2951,8641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Minnesota United permanently.,0.0,4.4,MID,0.0,Sunderland,SUN
560,Isidor,Wilson,Isidor,17,4,51,60,2.3,1056,4,1,4,15,1,0,7,193,1.8,1.4,965242,872027,3.73,0.17,3.9,17.94,168.8,24.2,384.0,57.6,a,,100.0,5.1,FWD,11.764705882352942,Sunderland,SUN
561,Mayenda,Eliezer,Mayenda Dossou,17,4,52,37,2.2,737,2,0,3,9,0,0,5,117,2.8,0.5,269926,305713,2.13,0.22,2.35,12.63,115.6,53.5,188.0,35.3,a,,,5.2,FWD,7.115384615384615,Sunderland,SUN
562,Abdullahi,Ahmed,Abdullahi,17,4,42,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.5,68339,90426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,4.2,FWD,0.0,Sunderland,SUN
563,Luís Hemir,Luís Hemir,Silva Semedo,17,4,44,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,5979,20383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Moreirense on loan for the rest of the season.,0.0,4.4,FWD,0.0,Sunderland,SUN
564,Rusyn,Nazarii,Rusyn,17,4,44,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,3530,20191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Arka on loan for the rest of the season.,0.0,4.4,FWD,0.0,Sunderland,SUN
668,Xhaka,Granit,Xhaka,17,3,51,94,3.8,2091,1,5,7,25,4,0,5,455,1.0,3.4,1366449,1344577,0.59,2.29,2.88,33.68,543.0,444.4,81.0,106.8,a,,100.0,5.1,MID,18.43137254901961,Sunderland,SUN
670,Roefs,Robin,Roefs,17,1,49,110,3.9,2520,0,0,8,34,3,0,9,474,1.2,9.9,2167807,1094437,0.0,0.1,0.1,41.0,704.0,40.0,0.0,74.3,d,Hamstring injury - 25% chance of playing,25.0,4.9,GKP,22.448979591836732,Sunderland,SUN
678,Masuaku,Arthur,Masuaku,17,2,39,1,0.3,125,0,0,0,2,1,0,0,4,0.0,0.5,52353,82929,0.07,0.08,0.15,2.09,21.8,20.1,7.0,4.9,u,has joined RC Lens on loan for the rest of the season.,0.0,3.9,DEF,0.25641025641025644,Sunderland,SUN
683,Alderete,Omar,Alderete,17,2,41,100,4.0,2173,1,1,8,29,5,0,5,335,3.5,6.6,1594936,923140,1.23,0.82,2.04,35.4,631.8,118.9,207.0,96.2,a,,100.0,4.1,DEF,24.390243902439025,Sunderland,SUN
694,Mukiele,Nordi,Mukiele,17,2,45,115,4.6,2163,1,5,7,28,4,0,8,397,0.8,8.9,2465460,1415627,1.02,2.01,3.03,35.72,559.0,278.7,141.0,97.9,d,Calf injury - 50% chance of playing,50.0,4.5,DEF,25.555555555555557,Sunderland,SUN
724,Geertruida,Lutsharel,Geertruida,17,2,45,41,1.8,1231,0,0,2,19,0,0,0,172,1.8,0.1,9644,6574,0.44,0.7,1.14,25.42,207.2,106.9,46.0,36.0,a,,,4.5,DEF,9.11111111111111,Sunderland,SUN
730,Brobbey,Brian,Brobbey,17,4,54,62,2.8,1193,5,1,4,17,3,0,8,224,0.8,0.7,334859,262442,2.6,0.41,3.01,21.13,236.4,95.8,264.0,58.2,d,Groin Injury - 75% chance of playing,75.0,5.4,FWD,11.481481481481481,Sunderland,SUN
735,Traoré,Bertrand,Traoré,17,3,55,30,2.5,634,1,1,3,9,1,0,1,118,0.5,0.0,13827,13042,0.48,0.25,0.73,9.74,115.6,108.4,135.0,35.9,d,Knee injury - 25% chance of playing,25.0,5.5,MID,5.454545454545454,Sunderland,SUN
